surah,ayah,status,char_lock_verified,original_thai,final_thai
2,267,CLEAN,True,บรรดาผู้ศรัทธาทั้งหลาย จงบริจาคส่วนหนึ่งจากบรรดาสิ่งดี ๆ ของสิ่งที่พวกเจ้าได้แสวงหาไว้ และจากสิ่งที่เราได้ให้ออกมาจากดิน สำหรับพวกเจ้า และพวกเจ้าอย่ามุ่งเอาสิ่งที่เลวจากมันมาบริจาค ทั้ง ๆ ที่พวกเจ้าเองก็มิใช่จะเป็นผู้รับมันไว้ นอกจากว่าพวกเจ้าจะหลับตาในการรับมันเท่านั้น และพึงรู้เถิดว่า แท้จริงอัลลอฮฺนั้นเป็นผู้ทรงมั่งมี ผู้ทรงได้รับการสรรเสริญ,บรรดาผู้ศรัทธาทั้งหลาย จงบริจาคส่วนหนึ่งจากบรรดาสิ่งดี ๆ ของสิ่งที่พวกเจ้าได้แสวงหาไว้ และจากสิ่งที่เราได้ให้ออกมาจากดิน สำหรับพวกเจ้า และพวกเจ้าอย่ามุ่งเอาสิ่งที่เลวจากมันมาบริจาค ทั้ง ๆ ที่พวกเจ้าเองก็มิใช่จะเป็นผู้รับมันไว้ นอกจากว่าพวกเจ้าจะหลับตาในการรับมันเท่านั้น และพึงรู้เถิดว่า แท้จริงอัลลอฮฺนั้นเป็นผู้ทรงมั่งมี ผู้ทรงได้รับการสรรเสริญ
2,268,SPACING_OPTIMIZED,True,ชัยฎอนนั้น มันจะขู่พวกเจ้าให้กลัวความยากจน และจะใช้พวกเจ้าให้กระทำความชั่ว และอัลลอฮฺนั้น ทรงสัญญาแก่พวกเจ้าไว้ ซึ่งการอภัยโทษ และความกรุณาจากพระองค์ และอัลลอฮฺนั้นเป็นผู้ทรงกว้างขวาง ผู้ทรงรอบรู้,ชัยฎอนนั้น มันจะขู่พวกเจ้าให้กลัวความยากจน และจะใช้พวกเจ้าให้กระทำความชั่ว และอัลลอฮฺนั้นทรงสัญญาแก่พวกเจ้าไว้ ซึ่งการอภัยโทษและความกรุณาจากพระองค์ และอัลลอฮฺนั้นเป็นผู้ทรงกว้างขวาง ผู้ทรงรอบรู้
2,269,CLEAN,True,พระองค์จะทรงประทานความรู้ให้แก่ผู้ที่พระองค์ทรงประสงค์ และผู้ใดที่ได้รับความรู้ แน่นอนเขาก็ได้รับความดีอันมากมาย และไม่มีใครจะรำลึก นอกจากบรรดาผู้ที่มีสติปัญญาเท่านั้น,พระองค์จะทรงประทานความรู้ให้แก่ผู้ที่พระองค์ทรงประสงค์ และผู้ใดที่ได้รับความรู้ แน่นอนเขาก็ได้รับความดีอันมากมาย และไม่มีใครจะรำลึก นอกจากบรรดาผู้ที่มีสติปัญญาเท่านั้น
2,270,CLEAN,True,และสิ่งที่บริจาคใดก็ดี ที่พวกเจ้าบริจาคไป หรือสิ่งบนบานใดก็ดี ที่พวกเจ้าได้บนบานไว้นั้น แท้จริงอัลลอฮฺทรงรู้มันดี และสำหรับผู้อธรรมทั้งหลายนั้น ย่อมไม่มีผู้ช่วยเหลือ,และสิ่งที่บริจาคใดก็ดี ที่พวกเจ้าบริจาคไป หรือสิ่งบนบานใดก็ดี ที่พวกเจ้าได้บนบานไว้นั้น แท้จริงอัลลอฮฺทรงรู้มันดี และสำหรับผู้อธรรมทั้งหลายนั้น ย่อมไม่มีผู้ช่วยเหลือ
2,271,CLEAN,True,หากพวกเจ้าเปิดเผยสิ่งที่ให้เป็นทาน มันก็เป็นสิ่งที่ดีอยู่ และถ้าหากพวกเจ้าปกปิดมัน และให้มันแก่บรรดาผู้ยากจนแล้ว มันก็เป็นสิ่งที่ดีแก่พวกเจ้ายิ่งกว่า และพระองค์จะทรงลบล้างออกจากพวกเจ้า ซึ่งบางส่วนจากบรรดาความผิดของพวกเจ้า และอัลลอฮฺนั้นทรงรอบรู้อย่างถี่ถ้วนในสิ่งที่พวกเจ้ากระทำกันอยู่,หากพวกเจ้าเปิดเผยสิ่งที่ให้เป็นทาน มันก็เป็นสิ่งที่ดีอยู่ และถ้าหากพวกเจ้าปกปิดมัน และให้มันแก่บรรดาผู้ยากจนแล้ว มันก็เป็นสิ่งที่ดีแก่พวกเจ้ายิ่งกว่า และพระองค์จะทรงลบล้างออกจากพวกเจ้า ซึ่งบางส่วนจากบรรดาความผิดของพวกเจ้า และอัลลอฮฺนั้นทรงรอบรู้อย่างถี่ถ้วนในสิ่งที่พวกเจ้ากระทำกันอยู่
2,272,CLEAN,True,หาใช่เป็นหน้าที่ของเจ้าไม่ ซึ่งการแนะนำพวกเขา (ให้เกิดความศรัทธา) แต่ทว่าอัลลอฮฺต่างหากที่จะแนะนำใครก็ได้ที่พระองค์ทรงประสงค์ (ให้เขาศรัทธา) สิ่งดีใด ๆ ที่พวกเจ้าบริจาคไปก็ย่อมได้แก่ตัวของพวกเจ้าเอง และพวกเจ้าจะไม่บริจาคสิ่งใด นอกจากเพื่อแสวงหาความโปรดปรานของอัลลอฮฺเท่านั้น และสิ่งดีใด ๆ ที่พวกเจ้าบริจาคไป มันก็จะถูกตอบแทนโดยครบถ้วนแก่พวกเจ้า และพวกเจ้าจะไม่ถูกอธรรม,หาใช่เป็นหน้าที่ของเจ้าไม่ ซึ่งการแนะนำพวกเขา (ให้เกิดความศรัทธา) แต่ทว่าอัลลอฮฺต่างหากที่จะแนะนำใครก็ได้ที่พระองค์ทรงประสงค์ (ให้เขาศรัทธา) สิ่งดีใด ๆ ที่พวกเจ้าบริจาคไปก็ย่อมได้แก่ตัวของพวกเจ้าเอง และพวกเจ้าจะไม่บริจาคสิ่งใด นอกจากเพื่อแสวงหาความโปรดปรานของอัลลอฮฺเท่านั้น และสิ่งดีใด ๆ ที่พวกเจ้าบริจาคไป มันก็จะถูกตอบแทนโดยครบถ้วนแก่พวกเจ้า และพวกเจ้าจะไม่ถูกอธรรม
2,273,SPACING_OPTIMIZED,True,(คือให้บริจาคทาน) แก่บรรดาผู้ที่ยากจนที่ถูกจำกัดตัวให้อยู่ในทางของอัลลอฮฺ โดยที่พวกเขาไม่สามารถจะเดินทางไปในดินแดนอื่น ๆ ได้ (เพื่อประกอบอาชีพ) ผู้ที่ไม่รู้คิดว่าพวกเขาเป็นผู้มั่งมีอันเนื่องจากความสงบเสงี่ยมเจียมตัว โดยที่เจ้าจะรู้จักเขาได้ ด้วยเครื่องหมายของพวกเขา พวกเขาจะไม่ขอจากผู้คนในสภาพเซ้าซี้ และสิ่งดีใด ๆ ที่พวกเจ้าบริจาคไปนั้น แท้จริงอัลลอฮฺทรงรู้ดีในสิ่งนั้น,(คือให้บริจาคทาน) แก่บรรดาผู้ที่ยากจน ที่ถูกจำกัดตัวให้อยู่ในทางของอัลลอฮฺ โดยที่พวกเขาไม่สามารถจะเดินทางไปในดินแดนอื่น ๆ ได้ (เพื่อประกอบอาชีพ) ผู้ที่ไม่รู้คิดว่าพวกเขาเป็นผู้มั่งมีอันเนื่องจากความสงบเสงี่ยมเจียมตัว โดยที่เจ้าจะรู้จักเขาได้ ด้วยเครื่องหมายของพวกเขา พวกเขาจะไม่ขอจากผู้คนในสภาพเซ้าซี้ และสิ่งดีใด ๆ ที่พวกเจ้าบริจาคไปนั้น แท้จริงอัลลอฮฺทรงรู้ดีในสิ่งนั้น
2,274,SPACING_OPTIMIZED,True,บรรดาผู้ที่บริจาคทรัพย์ของพวกเขาทั้งในเวลากลางคืน และกลางวัน ทั้งโดยปกปิด และเปิดเผยนั้น พวกเขาจะได้รับรางวัลของพวกเขา ณ พระผู้เป็นเจ้าของพวกเขา และไม่มีความกลัวอย่างหนึ่งอย่างใดเกิดขึ้นแก่พวกเขา และทั้งพวกเขาก็จะไม่เสียใจ,บรรดาผู้ที่บริจาคทรัพย์ของพวกเขาทั้งในเวลากลางคืนและกลางวัน ทั้งโดยปกปิดและเปิดเผยนั้น พวกเขาจะได้รับรางวัลของพวกเขา ณ พระผู้เป็นเจ้าของพวกเขา และไม่มีความกลัวอย่างหนึ่งอย่างใดเกิดขึ้นแก่พวกเขา และทั้งพวกเขาก็จะไม่เสียใจ
2,275,SPACING_OPTIMIZED,True,บรรดาผู้กินดอกเบี้ยนั้น พวกเขาจะไม่ทรงตัว นอกจากจะเป็นเช่นเดียวกับผู้ที่ชัยฏอนทำร้ายเขา ทรงตัว พวกเขากล่าวว่า ที่จริงการค้าขายนั้นก็เหมือนการเอาดอกเบี้ยนั้นเอง และอัลลอฮฺนั้นทรงอนุมัติการขาย และทรงห้ามการเอาดอกเบี้ย ดังนั้นผู้ใดที่การตักเตือนจากพระเจ้าของเขาได้มายังเขา แล้วเขาก็เลิก สิ่งที่ล่วงแล้วมาก็เป็นสิทธิของเขา และเรื่องของเขานั้นย่อมกลับไปสู่อัลลอฮฺ และผู้ใดกลับ (กระทำ) อีก ชนเหล่านี้แหละคือชาวนรก โดยที่พวกเขาจะอยู่ในนรกนั้นตลอดกาล,บรรดาผู้กินดอกเบี้ยนั้น พวกเขาจะไม่ทรงตัวนอกจากจะเป็นเช่นเดียวกับผู้ที่ชัยฏอนทำร้ายเขาทรงตัว พวกเขากล่าวว่า ที่จริงการค้าขายนั้นก็เหมือนการเอาดอกเบี้ยนั้นเอง และอัลลอฮฺนั้นทรงอนุมัติการขายและทรงห้ามการเอาดอกเบี้ย ดังนั้นผู้ใดที่การตักเตือนจากพระเจ้าของเขาได้มายังเขาแล้วเขาก็เลิก สิ่งที่ล่วงแล้วมาก็เป็นสิทธิของเขาและเรื่องของเขานั้นย่อมกลับไปสู่อัลลอฮฺ และผู้ใดกลับ (กระทำ) อีก ชนเหล่านี้แหละคือชาวนรก โดยที่พวกเขาจะอยู่ในนรกนั้นตลอดกาล
2,276,CLEAN,True,อัลลอฮฺจะทรงให้ดอกเบี้ยลดน้อยลง และหมดความจำเริญ และจะทรงให้บรรดาที่เป็นทานเพิ่มพูนขึ้น และอัลลอฮฺนั้นไม่ทรงชอบผู้เนรคุณ ผู้กระทำบาปทุกคน,อัลลอฮฺจะทรงให้ดอกเบี้ยลดน้อยลง และหมดความจำเริญ และจะทรงให้บรรดาที่เป็นทานเพิ่มพูนขึ้น และอัลลอฮฺนั้นไม่ทรงชอบผู้เนรคุณ ผู้กระทำบาปทุกคน
2,277,CLEAN,True,แท้จริงบรรดาผู้ที่ศรัทธา และประกอบสิ่งที่ดีงามทั้งหลาย และดำรงไว้ซึ่งการละหมาด และจ่ายซะกาตนั้น พวกเขาจะได้รับรางวัลของพวกเขา ณ พระเจ้าของพวกเขา และไม่มีความกลัวอย่างหนึ่งอย่างใดเกิดขึ้นแก่พวกเขา และทั้งพวกเขาก็จะไม่เสียใจ,แท้จริงบรรดาผู้ที่ศรัทธา และประกอบสิ่งที่ดีงามทั้งหลาย และดำรงไว้ซึ่งการละหมาด และจ่ายซะกาตนั้น พวกเขาจะได้รับรางวัลของพวกเขา ณ พระเจ้าของพวกเขา และไม่มีความกลัวอย่างหนึ่งอย่างใดเกิดขึ้นแก่พวกเขา และทั้งพวกเขาก็จะไม่เสียใจ
2,278,CLEAN,True,บรรดาผู้ศรัทธาทั้งหลาย พึงยำเกรงอัลลอฮฺเถิด และจงละเว้นดอกเบี้ยที่ยังเหลืออยู่เสีย หากพวกเจ้าเป็นผู้ศรัทธา,บรรดาผู้ศรัทธาทั้งหลาย พึงยำเกรงอัลลอฮฺเถิด และจงละเว้นดอกเบี้ยที่ยังเหลืออยู่เสีย หากพวกเจ้าเป็นผู้ศรัทธา
2,279,CLEAN,True,และถ้าพวกเจ้ามิได้ปฏิบัติตาม ก็พึงรับรู้ไว้ด้วยว่า ซึ่งสงครามจากอัลลอฮฺ และรอซูลของพระองค์ และหากพวกเจ้าสำนึกผิดกลับเนื้อกลับตัวแล้ว สำหรับพวกเจ้าก็คือต้นทุนแห่งทรัพย์ของพวกเจ้า โดยที่พวกเจ้าจะได้ไม่อธรรม และไม่ถูกอธรรม,และถ้าพวกเจ้ามิได้ปฏิบัติตาม ก็พึงรับรู้ไว้ด้วยว่า ซึ่งสงครามจากอัลลอฮฺ และรอซูลของพระองค์ และหากพวกเจ้าสำนึกผิดกลับเนื้อกลับตัวแล้ว สำหรับพวกเจ้าก็คือต้นทุนแห่งทรัพย์ของพวกเจ้า โดยที่พวกเจ้าจะได้ไม่อธรรม และไม่ถูกอธรรม
2,280,CLEAN,True,และหากเขา (ลูกหนี้) เป็นผู้ยากไร้ ก็จงให้มีการรอคอยจนกว่าจะถึงคราวสะดวก และการที่พวกเจ้าจะให้เป็นทานนั้น ย่อมเป็นการดีแก่พวกเจ้า หากพวกเจ้ารู้,และหากเขา (ลูกหนี้) เป็นผู้ยากไร้ ก็จงให้มีการรอคอยจนกว่าจะถึงคราวสะดวก และการที่พวกเจ้าจะให้เป็นทานนั้น ย่อมเป็นการดีแก่พวกเจ้า หากพวกเจ้ารู้
2,281,SPACING_OPTIMIZED,True,และพวกเจ้าจงยำเกรงวันหนึ่ง ซึ่งพวกเจ้าจะถูกนำกลับไปยังอัลลอฮฺ ในวันนั้น แล้วแต่ละชีวิตจะถูกตอบแทนโดยครบถ้วน ตามที่ชีวิตนั้นได้แสวงหาไว้ และพวกเขาจะไม่ถูกอธรรม,และพวกเจ้าจงยำเกรงวันหนึ่ง ซึ่งพวกเจ้าจะถูกนำกลับไปยังอัลลอฮฺ ในวันนั้นแล้วแต่ละชีวิตจะถูกตอบแทนโดยครบถ้วน ตามที่ชีวิตนั้นได้แสวงหาไว้ และพวกเขาจะไม่ถูกอธรรม
2,282,SPACING_OPTIMIZED,True,บรรดาผู้ศรัทธาทั้งหลาย! เมื่อพวกเจ้าต่างมีหนี้สินกัน จะด้วยหนี้สินใด ๆ ก็ตาม จนกว่าจะถึงกำหนดเวลา (ใช้หนี้) ที่ถูกระบุไว้แล้ว ก็จงบันทึกหนี้สินนั้นเสีย และผู้เขียนก็จงบันทึกระหว่างพวกเจ้าด้วยความเที่ยงธรรม และผู้เขียนคนหนึ่งคนใด ก็จงอย่าปฏิเสธที่จะบันทึก ดังที่อัลลอฮฺได้ทรงสอนเขา ดังนั้น เขาจงบันทึกเถิด และจงให้ผู้ที่มีสิทธิเหนือเขา (ลูกหนี้) บอกให้บันทึก และเขาจงยำเกรงอัลลอฮฺ ผู้เป็นพระเจ้าของเขา และจงอย่าให้บกพร่องแต่อย่างใดจากสิทธินั้น และถ้าผู้มีสิทธิเหนือเขา (ลูกหนี้) เป็นคนโง่ หรือเป็นผู้อ่อนแอ หรือไม่สามารถจะบอกให้บันทึกได้ ก็จงให้ผู้ปกครองของเขาบอกด้วยความเที่ยงธรรม และพวกเจ้าจงให้มีพยานขึ้นสองนายจากบรรดาผู้ชายในหมู่พวกเจ้า แต่ถ้ามิปรากฏว่า พยานทั้งสองนั้นเป็นชาย ก็ให้มีผู้ชายหนึ่งกับผู้หญิงสองคน จากผู้ที่พวกเจ้าพึงใจในหมู่พยานทั้งหลาย เพื่อว่าหญิงใดในสองคนนั้นหลงไป คนหนึ่งในสองคนนั้นก็จะได้เตือนอีกคนหนึ่ง และบรรดาพยานนั้นก็จงอย่าได้ปฏิเสธ เมื่อพวกเขาถูกเรียกร้อง และพวกเจ้าจงอย่าเบื่อหน่ายที่จะบันทึกหนี้สินนั้น ไม่ว่าน้อยหรือมากก็ตาม จนกว่าจะถึงกำหนดเวลาของมัน นั่นแหละคือสิ่งที่ยุติธรรมยิ่งกว่า ณ ที่อัลลอฮฺ และเที่ยงตรงยิ่งกว่าสำหรับเป็นหลักฐานยืนยัน และเป็นสิ่งใกล้ยิ่งกว่าที่พวกเจ้าจะไม่สงสัย นอกจากว่ามันเป็นสินค้าที่ปรากฏอยู่ต่อหน้า ซึ่งพวกเจ้าหมุนเวียนมัน (ซื้อขายแลกเปลี่ยน) ระหว่างพวกเจ้า ก็ไม่มีโทษอันใดแก่พวกเจ้า ที่พวกเจ้าจะไม่บันทึกมัน และพวกเจ้าจงให้มีพยานขึ้น เมื่อพวกเจ้าต่างซื้อขายกัน และผู้เขียนก็จงอย่าก่อให้เกิดความเดือดร้อนขึ้น และผู้เป็นพยานด้วย และหากว่าพวกเจ้ากระทำ แน่นอน มันก็เป็นการฝ่าฝืนเนื่องด้วยพวกเจ้า และพวกเจ้าจงพึงยำเกรงอัลลอฮฺเถิด และอัลลอฮฺนั้นทรงให้ความรู้แก่พวกเจ้าอยู่ และอัลลอฮฺนั้นทรงรอบรู้ในทุกสิ่งทุกอย่าง,บรรดาผู้ศรัทธาทั้งหลาย! เมื่อพวกเจ้าต่างมีหนี้สินกัน จะด้วยหนี้สินใด ๆ ก็ตาม จนกว่าจะถึงกำหนดเวลา (ใช้หนี้) ที่ถูกระบุไว้แล้ว ก็จงบันทึกหนี้สินนั้นเสีย และผู้เขียนก็จงบันทึกระหว่างพวกเจ้าด้วยความเที่ยงธรรม และผู้เขียนคนหนึ่งคนใด ก็จงอย่าปฏิเสธที่จะบันทึก ดังที่อัลลอฮฺได้ทรงสอนเขา ดังนั้นเขาจงบันทึกเถิด และจงให้ผู้ที่มีสิทธิเหนือเขา (ลูกหนี้) บอกให้บันทึก และเขาจงยำเกรงอัลลอฮฺ ผู้เป็นพระเจ้าของเขา และจงอย่าให้บกพร่องแต่อย่างใดจากสิทธินั้น และถ้าผู้มีสิทธิเหนือเขา (ลูกหนี้) เป็นคนโง่ หรือเป็นผู้อ่อนแอ หรือไม่สามารถจะบอกให้บันทึกได้ ก็จงให้ผู้ปกครองของเขาบอกด้วยความเที่ยงธรรม และพวกเจ้าจงให้มีพยานขึ้นสองนายจากบรรดาผู้ชายในหมู่พวกเจ้า แต่ถ้ามิปรากฏว่าพยานทั้งสองนั้นเป็นชาย ก็ให้มีผู้ชายหนึ่งกับผู้หญิงสองคน จากผู้ที่พวกเจ้าพึงใจในหมู่พยานทั้งหลาย เพื่อว่าหญิงใดในสองคนนั้นหลงไป คนหนึ่งในสองคนนั้นก็จะได้เตือนอีกคนหนึ่ง และบรรดาพยานนั้นก็จงอย่าได้ปฏิเสธเมื่อพวกเขาถูกเรียกร้อง และพวกเจ้าจงอย่าเบื่อหน่ายที่จะบันทึกหนี้สินนั้น ไม่ว่าน้อยหรือมากก็ตาม จนกว่าจะถึงกำหนดเวลาของมัน นั่นแหละคือสิ่งที่ยุติธรรมยิ่งกว่า ณ ที่อัลลอฮฺ และเที่ยงตรงยิ่งกว่าสำหรับเป็นหลักฐานยืนยัน และเป็นสิ่งใกล้ยิ่งกว่าที่พวกเจ้าจะไม่สงสัย นอกจากว่ามันเป็นสินค้าที่ปรากฏอยู่ต่อหน้า ซึ่งพวกเจ้าหมุนเวียนมัน (ซื้อขายแลกเปลี่ยน) ระหว่างพวกเจ้า ก็ไม่มีโทษอันใดแก่พวกเจ้าที่พวกเจ้าจะไม่บันทึกมัน และพวกเจ้าจงให้มีพยานขึ้นเมื่อพวกเจ้าต่างซื้อขายกัน และผู้เขียนก็จงอย่าก่อให้เกิดความเดือดร้อนขึ้นและผู้เป็นพยานด้วย และหากว่าพวกเจ้ากระทำ แน่นอนมันก็เป็นการฝ่าฝืนเนื่องด้วยพวกเจ้า และพวกเจ้าจงพึงยำเกรงอัลลอฮฺเถิด และอัลลอฮฺนั้นทรงให้ความรู้แก่พวกเจ้าอยู่ และอัลลอฮฺนั้นทรงรอบรู้ในทุกสิ่งทุกอย่าง
2,283,CLEAN,True,และถ้าพวกเจ้าอยู่ในระหว่างเดินทาง และไม่พบผู้เขียนคนใด ก็ให้มีสิ่งค้ำประกันยึดถือไว้ แต่ถ้าบางคนในพวกเจ้าไว้ใจอีกบางคน (ลูกหนี้) ผู้ที่ได้รับความไว้ใจ (ลูกหนี้) ก็จงคืนสิ่งที่ถูกไว้ใจ (หนี้) ของเขาเสีย และเขาจงกลัวเกรงอัลลอฮฺ ผู้เป็นพระเจ้าของเขาเถิด และพวกเจ้าจงอย่าปกปิดพยานหลักฐาน และผู้ใดปกปิดมันไว้ แน่นอนหัวใจของเขาก็มีบาป และอัลลอฮฺนั้นเป็นผู้ทรงรอบรู้ในสิ่งที่พวกเจ้ากระทำ,และถ้าพวกเจ้าอยู่ในระหว่างเดินทาง และไม่พบผู้เขียนคนใด ก็ให้มีสิ่งค้ำประกันยึดถือไว้ แต่ถ้าบางคนในพวกเจ้าไว้ใจอีกบางคน (ลูกหนี้) ผู้ที่ได้รับความไว้ใจ (ลูกหนี้) ก็จงคืนสิ่งที่ถูกไว้ใจ (หนี้) ของเขาเสีย และเขาจงกลัวเกรงอัลลอฮฺ ผู้เป็นพระเจ้าของเขาเถิด และพวกเจ้าจงอย่าปกปิดพยานหลักฐาน และผู้ใดปกปิดมันไว้ แน่นอนหัวใจของเขาก็มีบาป และอัลลอฮฺนั้นเป็นผู้ทรงรอบรู้ในสิ่งที่พวกเจ้ากระทำ
2,284,SPACING_OPTIMIZED,True,สิ่งที่อยู่ในบรรดาชั้นฟ้า และสิ่งที่อยู่ในแผ่นดินนั้น เป็นสิทธิของอัลลอฮฺ และถ้าหากพวกเจ้าเปิดเผยสิ่งที่อยู่ในใจของพวกเจ้า หรือปกปิดมันไว้ก็ตาม อัลลอฮฺจะทรงนำสิ่งนั้นมาชำระสอบสวนแก่พวกเจ้า แล้วพระองค์จะทรงอภัยโทษแก่ผู้ที่พระองค์ทรงประสงค์ และอัลลอฮฺนั้นเป็นผู้ทรงเดชานุภาพเหนือทุกสิ่งทุกอย่าง,สิ่งที่อยู่ในบรรดาชั้นฟ้าและสิ่งที่อยู่ในแผ่นดินนั้นเป็นสิทธิของอัลลอฮฺ และถ้าหากพวกเจ้าเปิดเผยสิ่งที่อยู่ในใจของพวกเจ้าหรือปกปิดมันไว้ก็ตาม อัลลอฮฺจะทรงนำสิ่งนั้นมาชำระสอบสวนแก่พวกเจ้า แล้วพระองค์จะทรงอภัยโทษแก่ผู้ที่พระองค์ทรงประสงค์ และอัลลอฮฺนั้นเป็นผู้ทรงเดชานุภาพเหนือทุกสิ่งทุกอย่าง
2,285,CLEAN,True,รอซูลนั้น (นะบีมุฮัมมัด) ได้ศรัทธาต่อสิ่งที่ได้ถูกประทานลงมาแก่เขา จากพระเจ้าของเขา และมุมินทั้งหลายก็ศรัทธาด้วย ทุกคนศรัทธาต่ออัลลอฮฺ และมลาอิกะฮ์ของพระองค์ และบรรดาคัมภีร์ของพระองค์ และบรรดารอซูลของพระองค์ (พวกเขากล่าวว่า) เราจะไม่แยกระหว่างท่านหนึ่งท่านใด จากบรรดารอซูลของพระองค์ และพวกเขาได้กล่าวว่า เราได้ยินแล้ว และได้ปฏิบัติตามแล้ว การอภัยโทษจากพระองค์เท่านั้น ที่พวกเราปรารถนา โอ้พระเจ้าของพวกเรา! และยังพระองค์นั้น คือการกลับไป,รอซูลนั้น (นะบีมุฮัมมัด) ได้ศรัทธาต่อสิ่งที่ได้ถูกประทานลงมาแก่เขา จากพระเจ้าของเขา และมุมินทั้งหลายก็ศรัทธาด้วย ทุกคนศรัทธาต่ออัลลอฮฺ และมลาอิกะฮ์ของพระองค์ และบรรดาคัมภีร์ของพระองค์ และบรรดารอซูลของพระองค์ (พวกเขากล่าวว่า) เราจะไม่แยกระหว่างท่านหนึ่งท่านใด จากบรรดารอซูลของพระองค์ และพวกเขาได้กล่าวว่า เราได้ยินแล้ว และได้ปฏิบัติตามแล้ว การอภัยโทษจากพระองค์เท่านั้น ที่พวกเราปรารถนา โอ้พระเจ้าของพวกเรา! และยังพระองค์นั้น คือการกลับไป
2,286,SPACING_OPTIMIZED,True,อัลลอฮฺจะไม่ทรงบังคับชีวิตหนึ่งชีวิตใด นอกจากตามความสามารถของชีวิตนั้นเท่านั้น ชีวิตนั้นจะได้รับการตอบแทนดีในสิ่งที่เขาได้แสวงหาไว้ และชีวิตนั้นจะได้รับการลงโทษในสิ่งชั่วที่เขาได้แสวงหาไว้ โอ้พระเจ้าของพวกเรา! โปรดอย่าเอาโทษแก่เราเลย หากพวกเราลืม หรือผิดพลาดไป โอ้พระเจ้าของพวกเรา! โปรดอย่าได้บรรทุกภาระหนักใด ๆ แก่พวกเรา เช่นเดียวกับที่พระองค์ได้ทรงบรรทุกมัน แก่บรรดาผู้ที่อยู่ก่อนหน้าพวกเรามาแล้ว โอ้พระเจ้าของพวกเรา! โปรดอย่าให้พวกเราแบกสิ่งที่ไม่มีกำลังใด ๆ แก่พวกเราที่จะแบกมันได้ และโปรดได้ทรงอภัยแก่พวกเรา และยกโทษให้แก่พวกเรา และเมตตาแก่พวกเราด้วยเถิด พระองค์นั้น คือ ผู้ปกครองของพวกเรา ดังนั้น โปรดได้ทรงช่วยเหลือพวกเราให้ได้รับชัยชนะเหนือกลุ่มชนที่ปฏิเสธศรัทธาด้วยเถิด,อัลลอฮฺจะไม่ทรงบังคับชีวิตหนึ่งชีวิตใด นอกจากตามความสามารถของชีวิตนั้นเท่านั้น ชีวิตนั้นจะได้รับการตอบแทนดีในสิ่งที่เขาได้แสวงหาไว้ และชีวิตนั้นจะได้รับการลงโทษในสิ่งชั่วที่เขาได้แสวงหาไว้ โอ้พระเจ้าของพวกเรา! โปรดอย่าเอาโทษแก่เราเลย หากพวกเราลืม หรือผิดพลาดไป โอ้พระเจ้าของพวกเรา! โปรดอย่าได้บรรทุกภาระหนักใด ๆ แก่พวกเรา เช่นเดียวกับที่พระองค์ได้ทรงบรรทุกมัน แก่บรรดาผู้ที่อยู่ก่อนหน้าพวกเรามาแล้ว โอ้พระเจ้าของพวกเรา! โปรดอย่าให้พวกเราแบกสิ่งที่ไม่มีกำลังใด ๆ แก่พวกเราที่จะแบกมันได้ และโปรดได้ทรงอภัยแก่พวกเรา และยกโทษให้แก่พวกเรา และเมตตาแก่พวกเราด้วยเถิด พระองค์นั้นคือผู้ปกครองของพวกเรา ดังนั้นโปรดได้ทรงช่วยเหลือพวกเราให้ได้รับชัยชนะเหนือกลุ่มชนที่ปฏิเสธศรัทธาด้วยเถิด
3,1,CLEAN,True,อะลิฟ ลาม มีม,อะลิฟ ลาม มีม
3,2,SPACING_OPTIMIZED,True,อัลลอฮฺนั้นคือ ไม่มีผู้ที่ถูกเคารพสักการะใด ๆ ที่เที่ยงแท้ นอกจากพระองค์เท่านั้น ผู้ทรงมีชีวิตอยู่เสมอ ผู้ทรงบริหารกิจการทั้งหลาย เป็นเนืองนิจ (ในสิ่งที่พระองค์ทรงสร้าง และทรงบังเกิด),อัลลอฮฺนั้นคือ ไม่มีผู้ที่ถูกเคารพสักการะใด ๆ ที่เที่ยงแท้ นอกจากพระองค์เท่านั้น ผู้ทรงมีชีวิตอยู่เสมอ ผู้ทรงบริหารกิจการทั้งหลายเป็นเนืองนิจ (ในสิ่งที่พระองค์ทรงสร้าง และทรงบังเกิด)
3,3,SPACING_OPTIMIZED,True,พระองค์ได้ทรงประทานคัมภีร์นั้น ลงมาแก่เจ้าเป็นครั้งคราว พร้อมด้วยความจริง เพื่อยืนยันคัมภีร์ที่อยู่เบื้องหน้า คัมภีร์นั้น และได้ทรงประทานอัตเตารอต และอัล-อินญีล,พระองค์ได้ทรงประทานคัมภีร์นั้นลงมาแก่เจ้าเป็นครั้งคราวพร้อมด้วยความจริง เพื่อยืนยันคัมภีร์ที่อยู่เบื้องหน้าคัมภีร์นั้น และได้ทรงประทานอัตเตารอต และอัล-อินญีล
