surah,ayah,issue_type,explanation,target_phrase,replacement_phrase,guardrail_status,original_thai,proposed_thai,arabic_anchor,malay_anchor,malay_reference,arabic_text,reviewer_decision
7,172,MISTRANSLATION,"The term 'غَٰفِلِينَ' (ghafilin) means 'heedless' or 'unmindful' (lalai). The current Thai translation 'ไม่รู้เรื่อง' (did not know) implies ignorance (jahl), whereas the Quranic context refers to the state of being unmindful or negligent of the covenant.",พวกข้าพระองค์ไม่รู้เรื่องเกี่ยวกับเรื่องนี้,พวกข้าพระองค์เป็นผู้หลงลืมเกี่ยวกับเรื่องนี้,PASSED_GUARDRAIL,และจงรำลึกขณะที่พระเจ้าของเจ้าได้เอาจากลูกหลานของอาดัม ซึ่งลูก ๆ ของพวกเขาจากหลังของพวกเขา และให้พวกเขายืนยันแก่ตัวของเขาเอง (โดยตอบคำถามที่ว่า) ข้ามิใช่พระเจ้าของพวกเจ้าดอกหรือ? พวกเขากล่าวว่า ใช่ขอรับ พวกข้าพระองค์ขอยืนยัน (มิฉะนั้น) พวกเจ้าจะกล่าวในวันกิยามะฮฺว่า แท้จริงพวกข้าพระองค์ไม่รู้เรื่องเกี่ยวกับเรื่องนี้,และจงรำลึกขณะที่พระเจ้าของเจ้าได้เอาจากลูกหลานของอาดัม ซึ่งลูก ๆ ของพวกเขาจากหลังของพวกเขา และให้พวกเขายืนยันแก่ตัวของเขาเอง (โดยตอบคำถามที่ว่า) ข้ามิใช่พระเจ้าของพวกเจ้าดอกหรือ? พวกเขากล่าวว่า ใช่ขอรับ พวกข้าพระองค์ขอยืนยัน (มิฉะนั้น) พวกเจ้าจะกล่าวในวันกิยามะฮฺว่า แท้จริงพวกข้าพระองค์เป็นผู้หลงลืมเกี่ยวกับเรื่องนี้,عَنْ هَٰذَا غَٰفِلِينَ,kami adalah lalai,"Dan (ingatlah wahai Muhammad) ketika Tuhanmu mengeluarkan zuriat anak-anak Adam (turun-temurun) dari (tulang) belakang mereka, dan Ia jadikan mereka saksi terhadap diri mereka sendiri, (sambil Ia bertanya dengan firmanNya): ""Bukankah Aku tuhan kamu?"" Mereka semua menjawab: ""Benar (Engkaulah Tuhan kami), kami menjadi saksi"". Yang demikian supaya kamu tidak berkata pada hari kiamat kelak: ""Sesungguhnya kami adalah lalai (tidak diberi peringatan) tentang (hakikat tauhid) ini"".",وَإِذۡ أَخَذَ رَبُّكَ مِنۢ بَنِيٓ ءَادَمَ مِن ظُهُورِهِمۡ ذُرِّيَّتَهُمۡ وَأَشۡهَدَهُمۡ عَلَىٰٓ أَنفُسِهِمۡ أَلَسۡتُ بِرَبِّكُمۡۖ قَالُواْ بَلَىٰ شَهِدۡنَآۚ أَن تَقُولُواْ يَوۡمَ ٱلۡقِيَٰمَةِ إِنَّا كُنَّا عَنۡ هَٰذَا غَٰفِلِينَ | ١٧٢,
7,174,TYPO,"The Arabic verb 'نُفَصِّلُ' (nufassilu) is in the present/imperfect tense (fi'l mudhari'), but in the context of the Quranic narrative, it refers to the established act of revelation. The Thai translation 'เราจะแจกแจง' (We will explain) implies a future tense, whereas the Malay 'Kami menjelaskan' and the Arabic context indicate an ongoing or established action. 'เราได้แจกแจง' or 'เราแจกแจง' is more accurate to the established nature of the verses.",เราจะแจกแจง,เราได้แจกแจง,PASSED_GUARDRAIL,และในทำนองนั้นแหละเราจะแจกแจงโองการทั้งหลาย เพื่อว่าพวกเขาจะกลับมา,และในทำนองนั้นแหละเราได้แจกแจงโองการทั้งหลาย เพื่อว่าพวกเขาจะกลับมา,نُفَصِّلُ,Kami menjelaskan,"Dan demikianlah Kami menjelaskan ayat-ayat keterangan Kami satu persatu (supaya nyata segala kebenaran), dan supaya mereka kembali (kepada kebenaran).",وَكَذَٰلِكَ نُفَصِّلُ ٱلۡأٓيَٰتِ وَلَعَلَّهُمۡ يَرۡجِعُونَ | ١٧٤,
7,175,MISTRANSLATION,"The current Thai translation 'อยู่ในหมู่' (is among) fails to capture the transformative aspect of 'فَكَانَ' (he became/he turned into) as indicated by the Malay 'menjadilah' and the Arabic verb 'kāna' in this context, which denotes a change in state.",ดังนั้นเขาจึงอยู่ในหมู่ผู้หลงผิด,ดังนั้นเขาจึงกลายเป็นหนึ่งในหมู่ผู้หลงผิด,PASSED_GUARDRAIL,และจงอ่านให้พวกเขาฟัง ซึ่งข่าวของผู้ที่เราได้ให้บรรดาโองการของเราแก่เขา แล้วเขาได้ถอนตัวออกจากโองการเหล่านั้น แล้วชัยฏอนก็ติดตามเขา ดังนั้นเขาจึงอยู่ในหมู่ผู้หลงผิด,และจงอ่านให้พวกเขาฟัง ซึ่งข่าวของผู้ที่เราได้ให้บรรดาโองการของเราแก่เขา แล้วเขาได้ถอนตัวออกจากโองการเหล่านั้น แล้วชัยฏอนก็ติดตามเขา ดังนั้นเขาจึงกลายเป็นหนึ่งในหมู่ผู้หลงผิด,فَكَانَ مِنَ ٱلۡغَاوِينَ,maka menjadilah dari orang-orang yang sesat,"Dan bacakanlah kepada mereka (wahai Muhammad), khabar berita seorang yang kami beri kepadanya (pengetahuan mengenai) ayat-ayat (Kitab) Kami. kemudian ia menjadikan dirinya terkeluar dari mematuhinya, lalu ia diikuti oleh Syaitan (dengan godaannya), maka menjadilah dari orang-orang yang sesat.",وَٱتۡلُ عَلَيۡهِمۡ نَبَأَ ٱلَّذِيٓ ءَاتَيۡنَٰهُ ءَايَٰتِنَا فَٱنسَلَخَ مِنۡهَا فَأَتۡبَعَهُ ٱلشَّيۡطَٰنُ فَكَانَ مِنَ ٱلۡغَاوِينَ | ١٧٥,
7,176,TYPO,The word 'อุปไมย' (upamai) is a typo in this context. The verse uses 'อุปมา' (upama) consistently for 'مَثَلُ' (mathal) in the preceding clause ('อุปมาของผู้นั้น'). Using 'อุปมา' maintains consistency and correct lexical usage.,อุปไมย,อุปมา,PASSED_GUARDRAIL,และหากเราประสงค์แล้ว แน่นอนเราก็ยกเขาขึ้น และด้วยบรรดาโองการเหล่านั้น แต่ทว่าเขาคงมั่นอยู่กับดิน และปฏิบัติตามความใคร่ใฝ่ต่ำของเขา ดังนั้นอุปมาของผู้นั้นจึงดั่งอุปไมยของสุนัข หากเจ้าขับไล่มัน มันก็จะหอบแลบลิ้นห้อยลง หรือถ้าเจ้าปล่อยมันไว้ มันก็จะหอบแลบลิ้นห้อยลง นั่นแหละคืออุปมากลุ่มชนที่ปฏิเสธบรรดาโองการของเรา ดังนั้นเจ้าจงเล่าเรื่องราวเหล่านั้นเถิด เพื่อว่าพวกเขาจะได้ใคร่ครวญ,และหากเราประสงค์แล้ว แน่นอนเราก็ยกเขาขึ้น และด้วยบรรดาโองการเหล่านั้น แต่ทว่าเขาคงมั่นอยู่กับดิน และปฏิบัติตามความใคร่ใฝ่ต่ำของเขา ดังนั้นอุปมาของผู้นั้นจึงดั่งอุปมาของสุนัข หากเจ้าขับไล่มัน มันก็จะหอบแลบลิ้นห้อยลง หรือถ้าเจ้าปล่อยมันไว้ มันก็จะหอบแลบลิ้นห้อยลง นั่นแหละคืออุปมากลุ่มชนที่ปฏิเสธบรรดาโองการของเรา ดังนั้นเจ้าจงเล่าเรื่องราวเหล่านั้นเถิด เพื่อว่าพวกเขาจะได้ใคร่ครวญ,مَثَلُ,bandingan,"Dan kalau Kami kehendaki nescaya Kami tinggikan pangkatnya dengan (sebab mengamalkan) ayat-ayat itu. Tetapi ia bermati-mati cenderung kepada dunia dan menurut hawa nafsunya; maka bandingannya adalah seperti anjing, jika engkau menghalaunya: ia menghulurkan lidahnya termengah-mengah, dan jika engkau membiarkannya: ia juga menghulurkan lidahnya termengah-mengah. Demikianlah bandingan orang-orang yang mendustakan ayat-ayat Kami. Maka ceritakanlah kisah-kisah itu supaya mereka berfikir.",وَلَوۡ شِئۡنَا لَرَفَعۡنَٰهُ بِهَا وَلَٰكِنَّهُۥٓ أَخۡلَدَ إِلَى ٱلۡأَرۡضِ وَٱتَّبَعَ هَوَىٰهُۚ فَمَثَلُهُۥ كَمَثَلِ ٱلۡكَلۡبِ إِن تَحۡمِلۡ عَلَيۡهِ يَلۡهَثۡ أَوۡ تَتۡرُكۡهُ يَلۡهَثۚ ذَّٰلِكَ مَثَلُ ٱلۡقَوۡمِ ٱلَّذِينَ كَذَّبُواْ بِـَٔايَٰتِنَاۚ فَٱقۡصُصِ ٱلۡقَصَصَ لَعَلَّهُمۡ يَتَفَكَّرُونَ | ١٧٦,
7,177,TYPO,The current Thai translation 'พวกเขาอธรรมกันอยู่' (they are oppressing each other) is grammatically incomplete and misses the reflexive meaning of 'أَنفُسَهُمۡ' (their own selves) which is clearly present in the Arabic and Malay reference.,พวกเขาอธรรมกันอยู่,พวกเขาอธรรมต่อตัวของพวกเขาเอง,PASSED_GUARDRAIL,เป็นตัวอย่างที่ชั่วช้าจริง ๆ กลุ่มชนที่ปฏิเสธบรรดาโองการของเรา และก็ตัวของพวกเขานั้นเอง พวกเขาอธรรมกันอยู่,เป็นตัวอย่างที่ชั่วช้าจริง ๆ กลุ่มชนที่ปฏิเสธบรรดาโองการของเรา และก็ตัวของพวกเขานั้นเอง พวกเขาอธรรมต่อตัวของพวกเขาเอง,وَأَنفُسَهُمۡ كَانُواْ يَظۡلِمُونَ,mereka pula berlaku zalim kepada diri merela sendiri,"Amatlah buruknya bandingan orang-orang yang mendustakan ayat-ayat Kami, dan mereka pula berlaku zalim kepada diri merela sendiri.",سَآءَ مَثَلًا ٱلۡقَوۡمُ ٱلَّذِينَ كَذَّبُواْ بِـَٔايَٰتِنَا وَأَنفُسَهُمۡ كَانُواْ يَظۡلِمُونَ | ١٧٧,
7,179,MISTRANSLATION,"The term 'เผลอเรอ' implies carelessness or absent-mindedness, whereas 'ٱلۡغَٰفِلُونَ' (Al-Ghafilun) in this theological context refers to those who are heedless or neglectful of the truth/signs of Allah, for which 'ผู้ที่หลงลืม' is the standard and accurate Quranic translation in Thai.",ผู้ที่เผลอเรอ,ผู้ที่หลงลืม,PASSED_GUARDRAIL,และแน่นอนเราได้บังเกิดสำหรับญะฮันนัม ซึ่งมากมายจากญิน และมนุษย์ โดยที่พวกเขามีหัวใจซึ่งพวกเขาไม่ใช้มันทำความเข้าใจ และพวกเขามีตา ซึ่งพวกเขาไม่ได้ใช้มันมอง และพวกเขามีหู ซึ่งพวกเขาไม่ใช้มันฟัง ชนเหล่านี้แหละประหนึ่งปศุสัตว์ ใช่แต่เท่านั้น พวกเขาเป็นผู้หลงผิดยิ่งกว่า ชนเหล่านี้แหละ พวกเขาคือผู้ที่เผลอเรอ,และแน่นอนเราได้บังเกิดสำหรับญะฮันนัม ซึ่งมากมายจากญิน และมนุษย์ โดยที่พวกเขามีหัวใจซึ่งพวกเขาไม่ใช้มันทำความเข้าใจ และพวกเขามีตา ซึ่งพวกเขาไม่ได้ใช้มันมอง และพวกเขามีหู ซึ่งพวกเขาไม่ใช้มันฟัง ชนเหล่านี้แหละประหนึ่งปศุสัตว์ ใช่แต่เท่านั้น พวกเขาเป็นผู้หลงผิดยิ่งกว่า ชนเหล่านี้แหละ พวกเขาคือผู้ที่หลงลืม,ٱلۡغَٰفِلُونَ,orang-orang yang lalai,"Dan sesungguhnya Kami jadikan untuk neraka jahanam banyak dari jin dan manusia yang mempunyai hati (tetapi) tidak mahu memahami dengannya (ayat-ayat Allah), dan yang mempunyai mata (tetapi) tidak mahu melihat dengannya (bukti keesaan Allah) dan yang mempunyai telinga (tetapi) tidak mahu mendengar dengannya (ajaran dan nasihat); mereka itu seperti binatang ternak, bahkan mereka lebih sesat lagi; mereka itulah orang-orang yang lalai.",وَلَقَدۡ ذَرَأۡنَا لِجَهَنَّمَ كَثِيرٗا مِّنَ ٱلۡجِنِّ وَٱلۡإِنسِۖ لَهُمۡ قُلُوبٞ لَّا يَفۡقَهُونَ بِهَا وَلَهُمۡ أَعۡيُنٞ لَّا يُبۡصِرُونَ بِهَا وَلَهُمۡ ءَاذَانٞ لَّا يَسۡمَعُونَ بِهَآۚ أُوْلَٰٓئِكَ كَٱلۡأَنۡعَٰمِ بَلۡ هُمۡ أَضَلُّۚ أُوْلَٰٓئِكَ هُمُ ٱلۡغَٰفِلُونَ | ١٧٩,
7,180,TYPO,"The term 'ทำให้เฉ' is not standard Thai for the theological concept of 'Ilhad' (deviation/distortion of names). 'บิดเบือน' is the standard, accurate term used in Islamic Thai literature for this context.",ทำให้เฉ,บิดเบือน,PASSED_GUARDRAIL,และอัลลอฮฺนั้นมีบรรดาพระนามอันสวยงาม ดังนั้นพวกเจ้าจงเรียกหาพระองค์ด้วยพระนามเหล่านั้นเถิด และจงปล่อยบรรดาผู้ที่ทำให้เฉในบรรดาพระนามของพระองค์เถิด พวกเขานั้นจะถูกตอบแทนในสิ่งที่พวกเขากระทำ,และอัลลอฮฺนั้นมีบรรดาพระนามอันสวยงาม ดังนั้นพวกเจ้าจงเรียกหาพระองค์ด้วยพระนามเหล่านั้นเถิด และจงปล่อยบรรดาผู้ที่บิดเบือนในบรรดาพระนามของพระองค์เถิด พวกเขานั้นจะถูกตอบแทนในสิ่งที่พวกเขากระทำ,يُلۡحِدُونَ,berpaling dari kebenaran,"Dan Allah mempunyai nama-nama yang baik (yang mulia), maka serulah (dan berdoalah) kepadaNya dengan menyebut nama-nama itu, dan pulaukanlah orang-orang yang berpaling dari kebenaran dalam masa menggunakan nama-namaNya. Mereka akan mendapat balasan mengenai apa yang mereka telah kerjakan.",وَلِلَّهِ ٱلۡأَسۡمَآءُ ٱلۡحُسۡنَىٰ فَٱدۡعُوهُ بِهَاۖ وَذَرُواْ ٱلَّذِينَ يُلۡحِدُونَ فِيٓ أَسۡمَٰٓئِهِۦۚ سَيُجۡزَوۡنَ مَا كَانُواْ يَعۡمَلُونَ | ١٨٠,
7,183,MISTRANSLATION,"The word 'แข็งแรง' (strong/muscular) is physically descriptive, whereas 'مَتِينٌ' in this theological context refers to the firmness, stability, and unshakeable nature of Allah's plan, which is better translated as 'มั่นคง' (firm/stable/unshakeable).",แข็งแรงนัก,มั่นคงยิ่ง,PASSED_GUARDRAIL,และข้าจะประวิงเวลาให้แก่พวกเขา แท้จริงอุบายของข้านั้นแข็งแรงนัก,และข้าจะประวิงเวลาให้แก่พวกเขา แท้จริงอุบายของข้านั้นมั่นคงยิ่ง,مَتِينٌ,amatlah teguh,Dan Aku memberi tempoh kepada mereka; sesungguhnya rancangan balasanKu amatlah teguh.,وَأُمۡلِي لَهُمۡۚ إِنَّ كَيۡدِي مَتِينٌ | ١٨٣,
7,185,TYPO,The word 'บังเกิดขึ้น' is a verb phrase that is redundant when preceded by 'ทรง'. 'ทรงบังเกิด' is the standard theological phrasing for 'Allah created' in the King Fahd Complex Thai translation style.,บังเกิดขึ้นดอกหรือ?,ทรงบังเกิดดอกหรือ?,PASSED_GUARDRAIL,และพวกเขามิได้มองดูในอำนาจทั้งหลายแห่งบรรดาชั้นฟ้า และแผ่นดิน และสิ่งใดสิ่งหนึ่งที่อัลลอฮฺได้ทรงบังเกิดขึ้นดอกหรือ? และแท้จริงอาจเป็นไปได้ว่า กำหนดเวลาแห่งความตายของพวกเขานั้นได้ใกล้มาแล้ว แล้วก็ถ้อยคำใดเล่าที่พวกเขาจะศรัทธากันหลังจากอัล-กุรอาน?,และพวกเขามิได้มองดูในอำนาจทั้งหลายแห่งบรรดาชั้นฟ้า และแผ่นดิน และสิ่งใดสิ่งหนึ่งที่อัลลอฮฺได้ทรงทรงบังเกิดดอกหรือ? และแท้จริงอาจเป็นไปได้ว่า กำหนดเวลาแห่งความตายของพวกเขานั้นได้ใกล้มาแล้ว แล้วก็ถ้อยคำใดเล่าที่พวกเขาจะศรัทธากันหลังจากอัล-กุรอาน?,خَلَقَ,diciptakan,"Patutkah mereka (membutakan mata) tidak mahu memperhatikan alam langit dan bumi dan segala yang diciptakan oleh Allah, dan (memikirkan) bahawa harus telah dekat ajal kebinasaan mereka? Maka kepada perkataan yang mana lagi sesudah (datangnya Kalamullah Al-Quran) itu mereka mahu beriman?",أَوَلَمۡ يَنظُرُواْ فِي مَلَكُوتِ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا خَلَقَ ٱللَّهُ مِن شَيۡءٖ وَأَنۡ عَسَىٰٓ أَن يَكُونَ قَدِ ٱقۡتَرَبَ أَجَلُهُمۡۖ فَبِأَيِّ حَدِيثِۭ بَعۡدَهُۥ يُؤۡمِنُونَ | ١٨٥,
7,186,MISTRANSLATION,"The term 'ระเหเร่ร่อน' implies physical wandering or homelessness, whereas 'يَعْمَهُونَ' (ya'mahun) refers to being lost in confusion, blindness of heart, or bewilderment, which is accurately captured by 'งมงาย' or 'สับสนงุนงง' in this theological context.",ระเหเร่ร่อน,งมงาย,PASSED_GUARDRAIL,ผู้ใดที่อัลลอฮฺทรงปล่อยให้หลงไปแล้วก็ไม่มีผู้แนะนำใด ๆ สำหรับเขา และพระองค์จะทรงปล่อยพวกเขาให้ระเหเร่ร่อนอยู่ในการละเมิดของพวกเขา,ผู้ใดที่อัลลอฮฺทรงปล่อยให้หลงไปแล้วก็ไม่มีผู้แนะนำใด ๆ สำหรับเขา และพระองค์จะทรงปล่อยพวกเขาให้งมงายอยู่ในการละเมิดของพวกเขา,يَعْمَهُونَ,meraba-raba (dengan bingung),"Sesiapa yang disesatkan oleh Allah (kerana keingkarannya), maka tidak ada sesiapa pun yang akan dapat memberi petunjuk kepadanya; dan Allah membiarkan mereka meraba-raba (dengan bingung) dalam kesesatan mereka.",مَن يُضۡلِلِ ٱللَّهُ فَلَا هَادِيَ لَهُۥۚ وَيَذَرُهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ | ١٨٦,
7,187,TYPO,"The Thai adverbial marker 'อย่าง' is grammatically more appropriate than 'โดย' when describing the manner of the sudden arrival of the Hour, aligning with standard Thai usage for 'suddenly' (อย่างกะทันหัน).",โดยกะทันหัน,อย่างกะทันหัน,PASSED_GUARDRAIL,พวกเขาจะถามเจ้าถึงยามอวสาน (วันกิยามะฮฺ) นั้นว่า เมื่อใดเล่ามันจะเกิดขึ้น? จงกล่าวเถิดว่า แท้จริงความรู้ในเรื่องนั้นอยู่ที่พระเจ้าของฉันเท่านั้น ไม่มีใครจะเผยมันให้ทราบสำหรับเวลาของมันได้ นอกจากพระองค์เท่านั้น มันหนักอึ้งอยู่ในบรรดาชั้นฟ้า และแผ่นดิน มันจะไม่มายังพวกเจ้า นอกจากโดยกะทันหัน พวกเขาถามเจ้ากันประหนึ่งว่า เจ้านั้นเป็นผู้ที่รู้ในเรื่องนั้นดี จงกล่าวเถิด แท้จริงความรู้ในเรื่องนั้นอยู่ที่อัลลอฮฺเท่านั้น แต่ทว่ามนุษย์ส่วนมากไม่รู้,พวกเขาจะถามเจ้าถึงยามอวสาน (วันกิยามะฮฺ) นั้นว่า เมื่อใดเล่ามันจะเกิดขึ้น? จงกล่าวเถิดว่า แท้จริงความรู้ในเรื่องนั้นอยู่ที่พระเจ้าของฉันเท่านั้น ไม่มีใครจะเผยมันให้ทราบสำหรับเวลาของมันได้ นอกจากพระองค์เท่านั้น มันหนักอึ้งอยู่ในบรรดาชั้นฟ้า และแผ่นดิน มันจะไม่มายังพวกเจ้า นอกจากอย่างกะทันหัน พวกเขาถามเจ้ากันประหนึ่งว่า เจ้านั้นเป็นผู้ที่รู้ในเรื่องนั้นดี จงกล่าวเถิด แท้จริงความรู้ในเรื่องนั้นอยู่ที่อัลลอฮฺเท่านั้น แต่ทว่ามนุษย์ส่วนมากไม่รู้,بَغۡتَةٗ,secara mengejut,"Mereka bertanya kepadamu (wahai Muhammad) tentang hari kiamat: ""Bilakah masa datangnya?"" Katakanlah: ""Sesungguhnya pengetahuan mengenainya hanyalah ada di sisi Tuhanku, tidak ada sesiapa pun yang dapat menerangkan kedatangannya pada waktunya melainkan Dia. (Huru-hara) hari kiamat itu amatlah berat (menggerunkan makhluk-makhluk yang ada) di langit dan di bumi; ia tidak datang kepada kamu melainkan secara mengejut"". Mereka bertanya kepadamu seolah-olah engkau sedia mengetahuinya. Katakanlah: ""Sesungguhnya pengetahuan mengenai hari kiamat itu adalah di sisi Allah, tetapi kebanyakan manusia tidak mengetahui"".",يَسۡـَٔلُونَكَ عَنِ ٱلسَّاعَةِ أَيَّانَ مُرۡسَىٰهَاۖ قُلۡ إِنَّمَا عِلۡمُهَا عِندَ رَبِّيۖ لَا يُجَلِّيهَا لِوَقۡتِهَآ إِلَّا هُوَۚ ثَقُلَتۡ فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۚ لَا تَأۡتِيكُمۡ إِلَّا بَغۡتَةٗۗ يَسۡـَٔلُونَكَ كَأَنَّكَ حَفِيٌّ عَنۡهَاۖ قُلۡ إِنَّمَا عِلۡمُهَا عِندَ ٱللَّهِ وَلَٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا يَعۡلَمُونَ | ١٨٧,
7,188,TYPO,"The word 'ว่า' is repeated unnecessarily after the parenthetical name, creating a grammatical redundancy in the Thai sentence structure.",จงกล่าวเถิดว่า (มุฮัมมัด) ว่า,จงกล่าวเถิดว่า (มุฮัมมัด),PASSED_GUARDRAIL,จงกล่าวเถิดว่า (มุฮัมมัด) ว่า ฉันไม่มีอำนาจที่จะครอบครองประโยชน์ใด ๆ และโทษใด ๆ ไว้เป็นกรรมสิทธิ์แก่ตัวของฉันได้ นอกจากสิ่งที่อัลลอฮฺทรงประสงค์เท่านั้น และหากฉันเป็นผู้ที่รู้สิ่งเร้นลับแล้ว แน่นอนฉันก็ย่อมกอบโกยสิ่งที่ดีไว้มากมายแล้ว และความชั่วร้ายก็ย่อมไม่ต้องฉันได้ ฉันมิใช่ใครอื่น นอกจากผู้ตักเตือน และผู้ประกาศข่าวดีแก่กลุ่มชนที่ศรัทธาเท่านั้น,จงกล่าวเถิดว่า (มุฮัมมัด) ฉันไม่มีอำนาจที่จะครอบครองประโยชน์ใด ๆ และโทษใด ๆ ไว้เป็นกรรมสิทธิ์แก่ตัวของฉันได้ นอกจากสิ่งที่อัลลอฮฺทรงประสงค์เท่านั้น และหากฉันเป็นผู้ที่รู้สิ่งเร้นลับแล้ว แน่นอนฉันก็ย่อมกอบโกยสิ่งที่ดีไว้มากมายแล้ว และความชั่วร้ายก็ย่อมไม่ต้องฉันได้ ฉันมิใช่ใครอื่น นอกจากผู้ตักเตือน และผู้ประกาศข่าวดีแก่กลุ่มชนที่ศรัทธาเท่านั้น,قُل,Katakanlah,"Katakanlah: ""Aku tidak berkuasa mendatangkan manfaat bagi diriku dan tidak dapat menolak mudarat kecuali apa yang dikehendaki Allah. Dan kalau aku mengetahui perkara-perkara yang ghaib, tentulah aku akan mengumpulkan dengan banyaknya benda-benda yang mendatangkan faedah dan (tentulah) aku tidak ditimpa kesusahan. Aku ini tidak lain hanyalah (Pesuruh Allah) yang memberi amaran (bagi orang-orang yang ingkar) dan membawa berita gembira bagi orang-orang yang beriman"".",قُل لَّآ أَمۡلِكُ لِنَفۡسِي نَفۡعٗا وَلَا ضَرًّا إِلَّا مَا شَآءَ ٱللَّهُۚ وَلَوۡ كُنتُ أَعۡلَمُ ٱلۡغَيۡبَ لَٱسۡتَكۡثَرۡتُ مِنَ ٱلۡخَيۡرِ وَمَا مَسَّنِيَ ٱلسُّوٓءُۚ إِنۡ أَنَا۠ إِلَّا نَذِيرٞ وَبَشِيرٞ لِّقَوۡمٖ يُؤۡمِنُونَ | ١٨٨,
7,189,MISTRANSLATION,"The Arabic verb 'لَّنَكُونَنَّ' (la-nakunanna) is in the dual form (we both), and the context refers to the couple (เขาทั้งสอง). The current Thai translation uses 'ข้าพระองค์' (singular/general) and 'อยู่ในหมู่' (among), whereas the Arabic explicitly states 'we will be of the thankful ones' (dual). The replacement aligns with the dual subject 'เขาทั้งสอง' mentioned earlier in the verse.",ข้าพระองค์ก็อยู่ในหมู่ผู้ขอบคุณ,เราทั้งสองจะเป็นผู้ขอบคุณ,PASSED_GUARDRAIL,พระองค์นั้นคือผู้ที่ได้ทรงบังเกิดพวกเจ้าจากชีวิตเดียว และได้ทรงให้มีขึ้นจากชีวิตนั้น ซึ่งคู่ครองของชีวิตนั้น เพื่อชีวิตนั้นจะได้มีความสงบสุขกับนาง ครั้นเมื่อชีวิตนั้นได้สมสู่นาง นางก็อุ้มครรภ์อย่างเบา ๆ แล้วนางก็ผ่านมันไป ครั้นเมื่อนางอุ้มครรภ์หนัก เขาทั้งสองก็วิงวอนต่ออัลลอฮฺผู้เป็นพระเจ้าของเขาทั้งสองว่า ถ้าหากพระองค์ทรงประทานบุตรที่สมบูรณ์ให้ข้าพระองค์แล้ว แน่นอนข้าพระองค์ก็อยู่ในหมู่ผู้ขอบคุณ,พระองค์นั้นคือผู้ที่ได้ทรงบังเกิดพวกเจ้าจากชีวิตเดียว และได้ทรงให้มีขึ้นจากชีวิตนั้น ซึ่งคู่ครองของชีวิตนั้น เพื่อชีวิตนั้นจะได้มีความสงบสุขกับนาง ครั้นเมื่อชีวิตนั้นได้สมสู่นาง นางก็อุ้มครรภ์อย่างเบา ๆ แล้วนางก็ผ่านมันไป ครั้นเมื่อนางอุ้มครรภ์หนัก เขาทั้งสองก็วิงวอนต่ออัลลอฮฺผู้เป็นพระเจ้าของเขาทั้งสองว่า ถ้าหากพระองค์ทรงประทานบุตรที่สมบูรณ์ให้ข้าพระองค์แล้ว แน่นอนเราทั้งสองจะเป็นผู้ขอบคุณ,لَّنَكُونَنَّ مِنَ ٱلشَّٰكِرِينَ,tentulah kami menjadi orang-orang yang bersyukur,"Dia lah (Allah) yang menciptakan kamu semua dari (hakikat) diri yang satu, dan Ia mengadakan daripada hakikat itu pasangannya (diri suami isteri), untuk bersenang hati dan hidup mesra yang satu kepada yang lain. Ketika suami mencampuri isterinya, mengandunglah ia dengan kandungan yang ringan, serta teruslah ia dengan keadaan itu (ke suatu waktu). Kemudian ketika ia merasa berat (dan menaruh bimbang) berdoalah suami isteri itu kepada Tuhan mereka (dengan berkata):"" Sesungguhnya jika Engkau (wahai Tuhan kami) mengurniakan kami nikmat yang baik, tentulah kami menjadi orang-orang yang bersyukur"".",۞ هُوَ ٱلَّذِي خَلَقَكُم مِّن نَّفۡسٖ وَٰحِدَةٖ وَجَعَلَ مِنۡهَا زَوۡجَهَا لِيَسۡكُنَ إِلَيۡهَاۖ فَلَمَّا تَغَشَّىٰهَا حَمَلَتۡ حَمۡلًا خَفِيفٗا فَمَرَّتۡ بِهِۦۖ فَلَمَّآ أَثۡقَلَت دَّعَوَا ٱللَّهَ رَبَّهُمَا لَئِنۡ ءَاتَيۡتَنَا صَٰلِحٗا لَّنَكُونَنَّ مِنَ ٱلشَّٰكِرِينَ | ١٨٩,
